avgCost,classify,serviceRate,environmentRate,tel,tasteRate,rid,hours,address,name
256,"[""異國料理"",""美式料理""]",0.85,0.8,02-8252-3510,0.85,629870,"[""11:00~22:00""]","25.02069601469,121.46251300612994",巴克斯美式小館
448,"[""亞洲料理"",""泰式料理""]",0.65,0.55,02-2731-5753,0.75,9903,"[""17:30~22:00"",""11:30~14:30""]","25.05032801377,121.54459100656",Top Thai泰鼎泰式料理(敦化店)
1236,"[""異國料理"",""法式料理""]",0.8,0.75,02-8780-2997,0.8,51778,"[""12:00~22:30""]","25.04048801775,121.57385701998001",酒食歐風朝
0,"[""烘焙、甜點、零食"",""甜點專賣""]",0,0,02-2838-2700,0,1125833,[],"25.09756731554,121.52406610169",Les rêves pâtisserie
280,"[""中式料理"",""海鮮餐廳""]",0.5,0.4,08-889-7776,0.7,38253,"[""11:00~19:00""]","21.94522600938,120.74398100342",輝哥生魚片
45,"[""小吃"",""其他小吃""]",0.55,0.55,,0.65,30411,"[""06:00~20:00""]","22.96849701267,121.30444501345",東河包子
382,"[""異國料理"",""其他異國料理""]",0.75,0.85,04-2372-3372,0.7,43439,"[""11:30~22:00""]","24.135766145859467,120.66244580163436",安徒生童話鄉村廚
186,"[""速食料理"",""其他速食""]",0.75,0.75,02-2627-2886,0.8,81540,[],"25.081950009,121.56908501503",N.Y Bagels Cafe(內湖店)
420,"[""亞洲料理"",""泰式料理""]",0.75,0.75,02-2546-6579,0.75,949422,"[""11:00~21:30""]","25.05264381547,121.54453510836001",藍象廷泰鍋(慶城店)
330,"[""主題特色餐廳"",""其它主題餐廳""]",0.65,0.75,02-2836-7755,0.6,93259,"[""11:00~22:00""]","25.095674004259998,121.52667301005",北極星餐廳 North Star
584,"[""鍋類"",""涮涮鍋""]",0.8,0.9,07-223-3282,0.85,975640,"[""17:00~21:00"",""11:00~14:00""]","22.62835131971,120.31894921837001",江戶龍鍋物。日式平價料理
67,"[""小吃"",""其他小吃""]",0.6,0.55,02-2769-5739,0.8,22390,"[""08:30~24:00""]","25.05055300042,121.57592041198997",東發號
345,"[""中式料理"",""粵菜 港式飲茶""]",0.6,0.5,04-2328-5459,0.8,47018,[],"24.15335001018,120.65024801126",香港金寶茶餐廳
543,"[""亞洲料理"",""韓式料理""]",0.65,0.65,04-2237-8678,0.75,1036648,"[""00:00~02:00"",""11:30~02:00""]","24.1671187057,120.68024550781",姜虎東678白丁烤肉
60,"[""冰品、飲料、甜湯"",""剉冰、豆花""]",0.75,0.55,02-2332-9617,0.85,8279,"[""15:00~01:00"",""00:00~01:00""]","25.028840112377832,121.50608964725201",八棟圓仔湯
92,"[""中式料理"",""客家菜""]",0.7,0.65,02-2874-7448,0.85,51904,"[""11:00~21:00""]","25.117369010250002,121.53264400429",天雲扁食店
174,"[""日式料理"",""生魚片、壽司專賣""]",0.8,0.55,0926-982-766,0.9,38420,"[""14:30~19:30""]","24.144021149165376,120.70928017826091",花田壽司
76,"[""小吃"",""鹹酥雞、炸雞排""]",0.8,0.65,0982-624-497,0.85,138933,"[""15:00~23:00""]","22.990968013979998,120.21137701673",食香客雞會站雞排專賣(北門總店)
74,"[""冰品、飲料、甜湯"",""冰淇淋""]",0.8,0.7,06-221-6816,0.8,615228,"[""11:00~21:00""]","22.99377911299,120.19762600742",綣綣屋 霜淇淋專賣
340,"[""燒烤類"",""炭烤串燒""]",0.8,0.7,06-237-7099,0.9,991156,[],"22.994548000730003,120.21337131843",府城騷烤家
799,"[""buffet自助餐"",""複合式""]",0.75,0.8,02-2376-3238,0.75,22671,"[""06:30~22:00""]","25.02661201394,121.54928201334",香格里拉台北遠東國際大飯店-遠東Cafe
481,"[""主題特色餐廳"",""景觀餐廳""]",0.6,0.95,03-5842-888,0.7,35465,"[""09:00~21:00""]","24.70675301399,121.26283600551999",數碼天空
61,"[""冰品、飲料、甜湯"",""飲料專賣店""]",0.75,0.55,05-225-3828,0.9,49358,"[""08:30~22:00""]","23.479873313840002,120.44943941659007",源興御香屋
0,"[""冰品、飲料、甜湯"",""飲料專賣店""]",0,0,0908-454-282,0,1110953,"[""16:30~21:00"",""11:30~14:00""]","22.6212637196,120.30302020890001",子揚茗茶
391,"[""異國料理"",""美式料理""]",0.8,0.8,02-2768-0989,0.8,1001820,[],"25.04456751351,121.56327920798",鄰居家 NEXT DOOR 松菸店
302,"[""中式料理"",""其它中式料理""]",0.65,0.55,08-781-1220,0.85,22247,"[""07:00~20:30""]","22.57425900356,120.56915201479",海鴻飯店
68,"[""小吃"",""筒仔米糕""]",0.55,0.5,04-2622-3299,0.7,22401,"[""09:00~20:30""]","24.27142700541,120.57693000756994",王塔米糕店
477,"[""異國料理"",""義式料理""]",0.9,0.9,06-290-7089,0.8,937868,"[""17:00~22:00"",""11:00~15:00""]","22.97382710506,120.22068391788004",小銅鍋義式餐廳(德安誠品店)
150,"[""日式料理"",""日式麵食專賣""]",0.8,0.8,04-2482-2308,0.8,592370,"[""17:00~21:00"",""11:30~14:00""]","24.11137601676,120.68418600762",丸太拉麵(益民店)
237,"[""異國料理"",""義式料理""]",0.85,0.85,04-8337-605,0.85,155319,"[""08:30~22:30""]","23.96021500781396,120.57389975386116",恬心朵朵Lily White Cafe
128,"[""冰品、飲料、甜湯"",""冰淇淋""]",0.9,0.85,04-2285-2221,0.9,972998,[],"24.12663831688,120.67285270667001",巴部屋工房
274,"[""中式料理"",""粵菜 港式飲茶""]",0.6,0.6,02-2331-8556,0.75,470404,[],"25.04500201385,121.50773801077001",祥發港式茶餐廳(西門店)
241,"[""異國料理"",""美式料理""]",0.9,0.8,02-2711-5552,0.75,987810,"[""11:30~22:00""]","25.04411360832,121.54760611348993",騎士維克餐廳
905,"[""燒烤類"",""日式燒肉""]",0.85,0.85,04-2312-1000,0.85,622432,"[""11:00~24:00""]","24.165801,120.64459499999998",屋馬燒肉(中港店)
455,"[""異國料理"",""美式料理""]",0.8,0.8,02-2788-3330,0.75,995912,"[""09:00~21:30""]","25.05759350556,121.61670790564",the Diner樂子美式餐廳(南港店)
1059,"[""異國料理"",""法式料理""]",0.95,0.9,07-221-8169,0.85,60867,[],"22.621972011369998,120.29920401125",夏慕尼新香榭鐵板燒(高雄五福店)
333,"[""日式料理"",""生魚片、壽司專賣""]",0.65,0.55,02-2977-2028,0.8,73678,[],"25.0583420126,121.4963690177",玄武壽司
190,"[""咖啡、簡餐、茶"",""複合式""]",0.75,0.75,,0.85,1014232,[],"25.04318790941,121.50679500548999",Guru House
74,"[""中式料理"",""其它中式料理""]",0.6,0.55,06-222-6142,0.85,44148,[],"22.991188004170002,120.19700901505",葉家小卷米粉
0,"[""燒烤類"",""炭烤串燒""]",0,0,04-2295-1656,0,1120670,"[""00:00~02:00"",""18:00~02:00""]","24.183635910739998,120.66804380285001",胃滿食Bar
103,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.6,0.55,04-2226-8127,0.75,32889,"[""09:00~22:00""]","24.13995201407,120.68070300491999",洪瑞珍三明治(中山店)
354,"[""日式料理"",""綜合日式料理""]",0.7,0.65,02-2585-6383,0.75,45562,"[""17:00~21:00"",""11:30~14:30""]","25.07034500808,121.51818401511001",漁陶屋(圓山店)
323,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.7,0.85,02-8771-3918,0.7,45303,"[""12:00~22:30""]","25.04296601736,121.54764500249",Murano 莫拉諾精品咖啡
99,"[""烘焙、甜點、零食"",""休閒零食""]",0.8,0.75,06-220-9336,0.85,152895,"[""10:30~20:00""]","22.999283315609997,120.16760710181994",益生堂凡吉力樂園
433,"[""日式料理"",""居酒屋""]",0.75,0.75,02-8251-0995,0.8,74547,"[""12:00~14:00"",""18:00~00:00""]","25.02059601525,121.46257300934002",六根居酒屋(板橋本店)
414,"[""異國料理"",""義式料理""]",0.7,0.9,04-2302-6545,0.7,29350,"[""11:30~14:30"",""17:30~21:30""]","24.14769601156,120.66346600009",藍洞義式餐坊
600,"[""亞洲料理"",""星馬料理""]",0.85,0.85,03-657-9079,0.8,95556,"[""17:30~21:00"",""11:30~14:00""]","24.823194406397555,121.0282821952473",馬六甲馬來西亞風味餐廳(新竹竹北店)
456,"[""異國料理"",""德式料理""]",0.55,0.5,02-2636-8299,0.75,22571,"[""11:00~23:00""]","25.258151019680003,121.49737400980999",Smoky Inn煙燻小棧
41,"[""冰品、飲料、甜湯"",""冰淇淋""]",0.6,0.45,02-2314-0306,0.85,37819,"[""10:00~23:00""]","25.039710000899998,121.50402301075",永富冰淇淋
284,"[""速食料理"",""漢堡、炸雞""]",0.65,0.65,02-8771-5811,0.75,1026818,"[""11:00~21:00""]","25.04130181076,121.55418260844",Burger Ray
370,"[""異國料理"",""義式料理""]",0.8,0.8,03-325-0222,0.8,86775,"[""11:30~22:00""]","25.01657300066,121.29787700406",托斯卡尼尼義大利餐廳(桃園中正店)
39,"[""冰品、飲料、甜湯"",""剉冰、豆花""]",0.65,0.55,03-932-9382,0.85,28928,"[""11:00~22:30""]","24.75211200001,121.75111701782",黑店冰店
179,"[""早餐"",""西式早餐""]",0.7,0.75,04-2301-9007,0.75,596754,"[""06:30~14:30""]","24.144885001659997,120.66411600195",AM食光
234,"[""中式料理"",""麵食點心""]",0.65,0.75,02-2563-3836,0.8,22617,"[""17:30~21:00"",""11:30~15:00""]","25.05787201926,121.52962100373",史記正宗牛肉麵
68,"[""小吃"",""其他小吃""]",0.6,0.45,05-225-6214,0.75,31492,"[""00:00~05:30"",""09:00~05:30""]","23.47845600176,120.44988601027",郭家雞肉飯
88,"[""冰品、飲料、甜湯"",""剉冰、豆花""]",0.8,0.75,06-221-8798,0.75,1022456,"[""13:00~22:00""]","22.997831378953098,120.19607769011908",無聊郎-懷舊冰品冷飲
555,"[""亞洲料理"",""韓式料理""]",0.75,0.8,02-2776-5593,0.8,1066964,"[""17:00~23:00""]","25.03884621191,121.55569810682",OKey Dokey
265,"[""異國料理"",""法式料理""]",0.55,0.55,02-8771-0568,0.6,15767,"[""12:00~22:00""]","25.04354701095,121.54441401804",JJ義式餐坊
315,"[""異國料理"",""義式料理""]",0.65,0.7,02-2776-1278,0.65,908954,"[""11:00~22:00""]","25.043024006339998,121.54675801180996",美好年代(小美好)
61,"[""小吃"",""其他小吃""]",0.55,0.45,03-936-4797,0.75,37846,"[""17:00~24:00""]","24.75924401556,121.7531860104",十六崁瓜仔雞麵
0,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.95,1,04-2437-9601,0.95,1146701,"[""09:00~20:00""]","24.169215008730003,120.72655601076",bdo比多手作體驗館
564,"[""buffet自助餐"",""複合式""]",0.75,0.9,07-272-2998,0.7,968338,[],"22.63058000017,120.30458690404001",Hotel Dùa-etage15 悅品西餐廳
1915,"[""異國料理"",""其他異國料理""]",0.9,0.85,02-8502-5779,0.9,110120,"[""11:30~14:30"",""17:30~21:30""]","25.08206641087,121.55299800204",D&C Bistro
217,"[""亞洲料理"",""韓式料理""]",0.7,0.7,07-716-2179,0.75,34624,"[""17:00~21:30"",""11:00~14:30""]","22.62334001519,120.3194610007",首爾韓國食堂
64,"[""其他美食"",""自助餐 便當""]",0.5,0.4,02-2499-1417,0.6,32734,"[""09:00~17:30""]","25.016001019249998,121.94467001144",鄉野便當
188,"[""中式料理"",""麵食點心""]",0.5,0.5,02-2351-0729,0.7,23214,"[""17:00~24:00""]","25.03971800103,121.5230040181",北平龍門客棧餃子館
123,"[""中式料理"",""麵食點心""]",0.9,0.7,02-2707-6012,0.85,55802,"[""17:30~20:30"",""11:30~14:00""]","25.02627700596,121.54697401749",蔣記家薌麵
607,"[""素食"",""中式""]",0.65,0.7,02-2542-8828,0.8,616740,"[""11:30~21:30""]","25.05290591092,121.53295610287",養心茶樓蔬食飲茶
76,"[""小吃"",""其他小吃""]",0.6,0.5,03-954-6325,0.75,44889,[],"24.6766870789721,121.7690920946273",烤肉風味
72,"[""冰品、飲料、甜湯"",""果汁""]",0.55,0.45,07-325-8258,0.75,39237,[],"22.6311370028,120.30024001596",老江紅茶牛奶
310,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.8,02-2752-2188,0.9,108072,"[""10:00~22:00""]","25.04371400311,121.54844800305999",糖村蛋糕(台北敦南)
752,"[""buffet自助餐"",""複合式""]",0.8,0.75,07-556-9791,0.7,95799,"[""11:30~21:30""]","22.665974000259997,120.30358500932999",大八大飯店-大八TOP自助餐
238,"[""主題特色餐廳"",""其它主題餐廳""]",0.7,0.8,04-2239-8868,0.65,40984,"[""10:00~21:00""]","24.17784201883,120.73908800289",紙箱王主題餐廳
343,"[""異國料理"",""其他異國料理""]",0.75,0.8,04-2326-7355,0.75,1022258,[],"24.15568231167,120.65657301943",KATZ 卡司複合式餐廳
393,"[""異國料理"",""美式料理""]",0.8,0.75,02-8771-8725,0.8,1050386,"[""11:30~22:00""]","25.0434519092,121.54748491053",Stan & Cat 史丹貓美式餐廳
1751,"[""燒烤類"",""鐵板燒""]",0.9,0.85,02-2700-8699,0.85,604194,"[""11:30~14:30"",""17:30~22:30""]","25.034657067801326,121.55738040319314",圓桌鐵板燒涮涮鍋
672,"[""日式料理"",""綜合日式料理""]",0.75,0.8,03-558-5882,0.8,596992,"[""17:30~21:00"",""11:30~14:00""]","24.826525804379997,121.01607520105",Toro賞和食
251,"[""日式料理"",""綜合日式料理""]",0.55,0.5,02-2558-7258,0.65,9208,"[""11:30~21:30""]","25.05353500563,121.51547401783999",小巷亭日本料理
431,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.6,0.7,02-2567-5688,0.7,151691,"[""11:30~23:00""]","25.05768300704,121.5328210059",御書園食尚牛排
279,"[""日式料理"",""日式麵食專賣""]",0.65,0.75,02-2521-8159,0.7,150049,"[""11:30~23:00""]","25.05737901601,121.52260901942",誠屋拉麵
0,"[""冰品、飲料、甜湯"",""冰淇淋""]",0,0,0912-280-094,0,1088981,"[""12:00~21:00""]","23.469246815840002,120.45144101384",賢明冰淇淋
55,"[""小吃"",""其他小吃""]",0.55,0.65,,0.55,36078,"[""12:00~20:30"",""13:30~19:30""]","22.99027001926,120.20663900449",台灣黑輪2元
215,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.8,,0.75,593352,"[""08:00~21:00""]","25.05624801145,121.52041300668",公雞咖啡 Rooster café & vintage
171,"[""中式料理"",""麵食點心""]",0.5,0.6,02-2306-3441,0.8,23430,"[""11:00~23:00""]","25.03224571831,121.50032111085007",麗珠什錦麵
1608,"[""buffet自助餐"",""複合式""]",0.85,0.9,02-6631-8060,0.8,928694,"[""18:00~20:00"",""06:30~10:00"",""11:30~14:30""]","25.03902131162,121.57186350663007",寒舍艾麗酒店-La Farfalla 義式餐廳
443,"[""異國料理"",""義式料理""]",0.8,0.8,02-8712-6161,0.85,628538,"[""18:00~21:30"",""12:00~14:30""]","25.05382800993,121.54715301675998",吃義燉飯
285,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.8,03-427-5085,0.75,606496,"[""10:00~23:00"",""10:00~00:00""]","24.96390601266,121.22507700535999",Damark Cafe 丹馬克咖啡
198,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.6,0.8,04-2301-3605,0.65,67152,"[""11:00~22:00"",""11:00~23:00""]","24.14984901242,120.66290401567",ino cafe
249,"[""日式料理"",""生魚片、壽司專賣""]",0.85,0.65,03-339-8307,0.85,65928,"[""09:00~23:00""]","24.99165400476,121.30287300231001",紅飛刀日本料理(總店)
385,"[""鍋類"",""壽喜燒""]",0.7,0.75,02-2956-9302,0.75,42170,"[""11:00~23:30""]","25.00816600944,121.46022001902001",品鼎殿日式壽喜燒
498,"[""異國料理"",""義式料理""]",0.75,0.75,02-2707-2212,0.9,94816,"[""11:00~14:30"",""17:30~21:30""]","25.03048501013,121.55318200306",ZOCA Pizza 佐佧義式窯烤披薩屋
1276,"[""日式料理"",""生魚片、壽司專賣""]",0.85,0.85,02-2391-9298,0.9,93190,[],"25.030981015800002,121.52909501486",游壽司二店
382,"[""亞洲料理"",""韓式料理""]",0.65,0.65,02-2778-3325,0.75,990408,"[""16:00~22:00""]","25.04413890319,121.54464051357",OvenMaru 烤頂鷄
161,"[""主題特色餐廳"",""懷舊主題""]",0.75,0.85,04-9230-5000,0.7,142559,"[""10:00~23:00"",""10:00~22:00""]","23.987703348758284,120.68735988420013",寶島時代村
431,"[""主題特色餐廳"",""景觀餐廳""]",0.75,0.75,02-2939-2832,0.8,22724,"[""11:30~22:00""]","24.967070646268695,121.59071849361122",四哥的店(原清泉本店)
574,"[""日式料理"",""綜合日式料理""]",0.8,0.8,02-2951-3595,0.75,118069,[],"25.01454281422,121.46554120959",藍屋日本料理(板橋大遠百新站店)
267,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.9,0.9,04-2301-1899,0.8,1047212,"[""09:30~21:30""]","24.14531190762,120.66402700957",作點心 烘培DIY
99,"[""冰品、飲料、甜湯"",""飲料專賣店""]",0.6,0.55,03-861-1888,0.75,50003,[],"24.12645300623,121.65182201428",佳興冰菓室
255,"[""日式料理"",""綜合日式料理""]",0.55,0.6,04-2225-7059,0.7,590076,[],"24.15207290326,120.6847540157",丼屋食堂
345,"[""異國料理"",""義式料理""]",0.85,0.85,02-2715-3377,0.85,94724,"[""11:00~21:30""]","25.05486600011,121.55031701071",Vasa Pizzeria瓦薩比薩(敦北店)
349,"[""咖啡、簡餐、茶"",""複合式""]",0.85,0.8,02-2712-8816,0.75,938478,"[""11:00~22:00""]","25.052150136488468,121.55651696191",Avenir Cafe
63,"[""燒烤類"",""炭烤串燒""]",0.55,0.45,06-228-1516,0.75,10794,[],"22.99784701812,120.19922501513",永樂燒肉飯
615,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.75,0.75,02-2796-5133,0.85,38285,"[""12:00~22:00""]","25.045248708199153,121.54364983965824",Black as Chocolate 黃湘怡的蛋糕店(復興店)
348,"[""亞洲料理"",""韓式料理""]",0.7,0.7,02-2832-5222,0.7,1070502,"[""11:00~13:30"",""17:00~21:30""]","25.09461571864,121.52209201904",OMAYA春川炒雞(士林中正店)
0,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0,0,04-2279-2277,0,1110233,"[""12:00~22:00""]","24.12729771307,120.70992450684",馥立堤烘焙工坊
393,"[""日式料理"",""日式豬排專賣""]",0.75,0.75,02-2722-0178,0.8,973542,[],"25.04084610177,121.56539641773",靜岡勝政日式豬排(阪急店)
227,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.7,0.95,03-922-0171,0.6,118,"[""14:30~01:00"",""17:30~24:00""]","24.73792603460849,121.6746109361191",橘子咖啡庭園
465,"[""日式料理"",""其他日式料理""]",0.9,0.9,02-2771-0006,0.9,1165892,"[""11:30~21:00""]","25.0393039,121.5521804",漂丿燒肉食堂
482,"[""異國料理"",""義式料理""]",0.75,0.8,04-2372-6463,0.7,96079,[],"24.13634000414,120.662439014",小義大利莊園(美術館店)
90,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.85,0.85,04-2225-2206,0.85,927064,"[""11:00~22:00""]","24.15207290555,120.68475400267",森製菓(台中中友百貨專櫃)
176,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.85,0.95,06-209-7979,0.75,51142,"[""10:00~23:00""]","22.98505201789,120.21910800923001",a Room 房間
819,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.8,02-2708-5299,0.8,925264,"[""11:30~21:30""]","25.03534401896,121.55010501822004",SEASON Artisan Pâtissier(敦南店)
134,"[""中式料理"",""其它中式料理""]",0.55,0.6,02-2805-2790,0.7,94302,"[""11:00~20:30""]","25.17716100839,121.42573500669",黑殿飯店DARK PALACE TAIWANESE GOURMET(創始店)
106,"[""中式料理"",""其它中式料理""]",0.65,0.7,02-2822-8921,0.7,41257,"[""11:00~22:00""]","25.11677000924,121.51706501743",三元喜事豬腳專賣店(商城店)
114,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.65,0.65,04-2310-3996,0.85,31524,"[""10:00~22:00""]","24.15342301554,120.65068600292",幸福烘焙坊
359,"[""亞洲料理"",""韓式料理""]",0.6,0.6,02-2570-8811,0.7,594482,"[""17:30~02:00"",""17:30~01:00""]","25.04479890705,121.55089500253997",福氣韓國炸雞 치킨인복 Chicken in Bok & Beer
188,"[""中式料理"",""麵食點心""]",0.6,0.6,0937-860-050,0.75,22351,"[""10:00~21:00""]","25.04165300605,121.51057500653",老王記牛肉麵
188,"[""亞洲料理"",""泰式料理""]",0.7,0.65,02-2365-9186,0.75,51717,"[""15:00~21:00"",""11:00~14:00""]","25.015924013779998,121.53200700586",罌粟花泰式料理(公館)
452,"[""異國料理"",""義式料理""]",0.7,0.9,03-281-1910,0.7,608816,[],"24.95871001708,121.20509900173",HOUSE CAFÉ
159,"[""亞洲料理"",""韓式料理""]",0.75,0.7,04-2225-9266,0.75,592486,"[""11:30~21:00""]","24.153596260092577,120.68705734868544",韓34韓國料理(一中店)
1902,"[""異國料理"",""法式料理""]",0.95,1,02-2518-0528,0.9,636230,"[""18:00~22:30"",""11:30~14:30""]","25.057350900899998,121.54148401582997",桂香-私宅 Flower  No'5  RSVP
582,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.8,0.95,02-2784-8888,0.7,70154,"[""14:30~17:00"",""18:00~21:30"",""11:30~14:00""]","25.03372700104,121.54837001683",怡亨酒店-Eclat Lounge
199,"[""日式料理"",""其他日式料理""]",0.65,0.55,04-2301-9273,0.8,82192,"[""17:30~22:00"",""11:00~14:00""]","24.14764801639,120.66217000923001",異鄉人咖哩(原：咖裡廚房大海亭)
291,"[""異國料理"",""義式料理""]",0.8,0.7,07-226-9636,0.8,28035,"[""11:30~14:30"",""17:30~21:30""]","22.622988015089998,120.31001400887",達文郡義大利麵食館
355,"[""異國料理"",""其他異國料理""]",0.7,0.75,02-2712-5606,0.75,945512,"[""17:30~21:00"",""11:30~14:00""]","25.05461201344,121.55077101330994",咖哩娘
642,"[""鍋類"",""其他鍋類""]",0.75,0.75,02-8253-7777,0.8,1069226,"[""17:00~22:00"",""11:00~14:00""]","25.02294620875,121.46740601721999",富呷一方(板橋新埔店)
292,"[""咖啡、簡餐、茶"",""複合式""]",0.75,0.85,04-2326-0423,0.8,631154,"[""10:30~22:30""]","24.15166301086,120.66254701844001",hecho做咖啡
0,"[""燒烤類"",""炭烤串燒""]",0,0,07-285-6685,0,1142966,[],"22.636372306610003,120.29827110503999",鑫烤活海鮮燒烤
1779,"[""燒烤類"",""鐵板燒""]",0.85,0.85,02-8502-7019,0.9,438322,"[""18:00~22:00"",""12:00~15:00""]","25.08195781634,121.55146051877",明水然
445,"[""主題特色餐廳"",""懷舊主題""]",0.8,0.9,02-2755-3039,0.8,956158,"[""11:30~21:00""]","25.030989314790002,121.54459880121",貳房苑 Livingreen
373,"[""主題特色餐廳"",""景觀餐廳""]",0.65,0.8,04-2589-8987,0.6,107929,"[""10:00~19:00""]","24.332064004419998,120.78418800181",自然風情民宿餐廳
193,"[""日式料理"",""日式豬排專賣""]",0.65,0.65,02-2369-3017,0.8,113130,"[""17:00~21:00"",""11:30~14:30""]","25.01928400455,121.53316901163",大盛豬排專門店
304,"[""咖啡、簡餐、茶"",""複合式""]",0.75,0.8,04-2302-7579,0.75,1061828,"[""09:00~18:00""]","24.14655950512,120.66328460684",Butter巴特3店brunch&cafe
91,"[""小吃"",""滷肉飯""]",0.6,0.55,02-2595-8396,0.8,53578,"[""11:30~22:30""]","25.06371160312,121.52423541941995",黃記魯肉飯
375,"[""咖啡、簡餐、茶"",""複合式""]",0.7,0.75,02-7743-6988,0.8,977614,[],"25.03566591095,121.56607451519",Love One 樂昂咖啡(ATT4FUN)
454,"[""亞洲料理"",""韓式料理""]",0.65,0.65,02-2773-0112,0.7,990720,"[""17:30~24:00""]","25.04438701553,121.55057700944",The Owl 敖唷 - 韓式湯飯專賣
672,"[""燒烤類"",""炭烤串燒""]",0.8,0.85,06-298-3377,0.85,30877,"[""11:30~24:00""]","22.993450110530002,120.18362861496001",碳佐麻里日式燒肉(台南府前店)
288,"[""咖啡、簡餐、茶"",""咖啡專賣""]",0.95,0.8,03-936-7868,0.8,80497,"[""11:00~21:00""]","24.74584200687,121.74080900228999",宜蘭綠海咖啡
496,"[""鍋類"",""麻辣火鍋""]",0.65,0.7,02-2314-6528,0.8,46666,"[""00:00~04:00"",""11:30~04:00""]","25.04381000954,121.50611801501",馬辣鴛鴦火鍋專賣(西門店)
397,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.9,02-2760-2100,0.85,1014074,"[""11:00~20:00""]","25.0436710103,121.56291600615",LeTAO小樽洋菓子舖(松菸店)
752,"[""燒烤類"",""日式燒肉""]",0.8,0.8,02-2555-6110,0.8,8678,"[""17:00~23:00""]","25.05317101971,121.52019600346",乾杯(中山店)
423,"[""燒烤類"",""炭烤串燒""]",0.7,0.75,02-8772-7331,0.8,637248,"[""00:00~02:00"",""18:00~02:00""]","25.043026013840002,121.55393200220003",一串 串燒•酒場
361,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.8,02-2765-5272,0.75,965190,"[""12:00~21:30""]","25.04341501244,121.56329001960005",疊疊樂(松菸店)
60,"[""中式料理"",""其它中式料理""]",1,0.5,0919-363-664,1,1132745,"[""10:30~13:30"",""16:00~20:00""]","24.08946681418,120.53758180297",禾籽八斗鴨肉油飯
300,"[""中式料理"",""其它中式料理""]",0.65,0.7,04-2203-6668,0.8,946748,"[""09:00~21:00""]","24.15639314914687,120.66856827250837",老阿太和孫女的手工小吃鋪
212,"[""早餐"",""西式早餐""]",0.75,0.75,02-2964-7777,0.75,979534,"[""09:30~21:30""]","25.01136901419,121.46655700651",Halla
370,"[""咖啡、簡餐、茶"",""複合式""]",0.75,0.9,02-2388-8616,0.9,1046380,[],"25.04448381292,121.51487840774",Campus Cafe(站前旗艦店)
497,"[""鍋類"",""其他鍋類""]",0.7,0.65,02-2570-0388,0.75,30073,"[""17:30~03:00"",""00:00~03:00"",""11:30~15:00""]","25.044721702316878,121.55269446237557",一品花雕雞(台北旗艦店)
244,"[""主題特色餐廳"",""景觀餐廳""]",0.6,0.8,07-793-2223,0.6,58222,"[""10:00~00:00""]","22.57862501315,120.34465200830999",淨園機場咖啡休閒農場
404,"[""鍋類"",""其他鍋類""]",0.8,0.65,02-2760-8370,0.85,88645,"[""11:00~15:30"",""11:00~15:00""]","25.05993001367,121.56265600739",好食多涮涮屋(民生店)
325,"[""主題特色餐廳"",""其它主題餐廳""]",0.9,0.95,02-2956-0717,0.75,1012266,"[""00:00~02:00"",""11:00~02:00""]","25.00860012613081,121.46131742150747",愛茶棧
736,"[""日式料理"",""綜合日式料理""]",0.95,0.9,07-823-0988,0.85,1042144,"[""17:30~22:00"",""11:30~14:30""]","22.59504470704,120.30713671198001",ikki藝奇新日本料理(高雄夢時代店)
255,"[""咖啡、簡餐、茶"",""複合式""]",0.8,0.75,02-2559-6376,0.8,1009268,"[""11:00~20:00""]","25.05648901439,121.51975601459",At. First Brunch 緣來
1913,"[""日式料理"",""懷石料理""]",0.85,0.85,02-2705-0101,0.8,107068,"[""18:00~22:00"",""12:00~14:30""]","25.02983800228,121.55007401911",燈燈庵
544,"[""燒烤類"",""日式燒肉""]",0.85,0.75,02-8226-6190,0.8,597198,[],"25.00564550998,121.47603900852",燒肉眾(中和環球店)
178,"[""烘焙、甜點、零食"",""西點烘焙、麵包""]",0.8,0.75,02-2705-0608,0.8,58541,"[""10:00~22:00""]","25.03398100671,121.54326901943999",聖保羅烘焙花園(大安店)
0,"[""異國料理"",""西班牙料理""]",0.9,0.9,02-2778-4818,0.85,1026026,"[""17:30~22:00"",""12:00~14:30""]","25.04710701014,121.54141301311003",西班牙傳統海鮮料理餐廳 PURO PURO
